Time,PosX,PosY,PosZ,VelX,VelY,VelZ,KineticEnergy
2.7,0.427817,-7.69999,4.69545,-4.81415,0.175797,-1.64615,13.384
2.75,0.190862,-7.68118,4.60847,-4.68549,0.50802,-1.80092,13.1456
2.8,-0.0388824,-7.64619,4.51398,-4.53123,0.825262,-1.94787,12.9144
2.85,-0.260206,-7.59585,4.4124,-4.3537,1.12572,-2.08654,12.6914
2.9,-0.472019,-7.53102,4.30413,-4.15533,1.40794,-2.21656,12.4779
2.95,-0.673352,-7.45266,4.18964,-3.93861,1.67078,-2.33769,12.2748
3,-0.863364,-7.36176,4.06935,-3.70604,1.91346,-2.44979,12.083
3.05,-1.04134,-7.25934,3.94374,-3.4601,2.13546,-2.55283,11.9032
3.1,-1.20667,-7.14645,3.81324,-3.20315,2.33657,-2.64688,11.7361
3.15,-1.35889,-7.02413,3.6783,-2.93747,2.51679,-2.7321,11.582
3.2,-1.49762,-6.89342,3.53936,-2.66519,2.67637,-2.80873,11.4415
3.25,-1.62258,-6.75534,3.39684,-2.38828,2.81571,-2.87708,11.3147
3.3,-1.73361,-6.61089,3.25115,-2.10854,2.93538,-2.9375,11.2019
3.35,-1.83061,-6.46103,3.10265,-1.82759,3.03602,-2.99042,11.1032
3.4,-1.91357,-6.30668,2.95173,-1.54688,3.1184,-3.03628,11.0185
3.45,-1.98253,-6.14875,2.79871,-1.26769,3.18331,-3.07556,10.9479
3.5,-2.0376,-5.98807,2.64392,-0.991126,3.23159,-3.10875,10.8913
3.55,-2.07896,-5.82545,2.48763,-0.718145,3.26409,-3.13638,10.8484
3.6,-2.10679,-5.66166,2.33011,-0.449561,3.28164,-3.15895,10.8192
3.65,-2.12134,-5.49743,2.17161,-0.186059,3.28506,-3.17697,10.8032
3.7,-2.12288,-5.33342,2.01232,0.0717902,3.27513,-3.19096,10.8004
3.75,-2.11171,-5.17029,1.85245,0.323518,3.25261,-3.20141,10.8103
3.8,-2.08816,-5.00864,1.69215,0.568742,3.21817,-3.2088,10.8328
3.85,-2.05254,-4.84906,1.53155,0.807152,3.17248,-3.2136,10.8673
3.9,-2.00521,-4.69209,1.37079,1.0385,3.11612,-3.21627,10.9136
3.95,-1.94653,-4.53824,1.20994,1.26259,3.04964,-3.21722,10.9714
4,-1.87688,-4.388,1.04908,1.47925,2.97351,-3.21686,11.0402
4.05,-1.79661,-4.24185,0.888276,1.68835,2.88818,-3.21557,11.1196
4.1,-1.70612,-4.10023,0.727551,1.88977,2.79403,-3.21372,11.2094
4.15,-1.60579,-3.96357,0.566927,2.08341,2.69141,-3.21164,11.3091
4.2,-1.49601,-3.8323,0.406405,2.26915,2.58061,-3.20964,11.4183
4.25,-1.37719,-3.7068,0.245974,2.4469,2.46188,-3.20801,11.5366
4.3,-1.24973,-3.58746,0.0856065,2.61652,2.33546,-3.20702,11.6637
4.35,-1.11403,-3.47468,-0.0747366,2.7779,2.20152,-3.20689,11.799
4.4,-0.970508,-3.36881,-0.235105,2.93086,2.06025,-3.20785,11.9422
4.45,-0.819599,-3.27023,-0.39556,3.07525,1.91177,-3.21009,12.0929
4.5,-0.661733,-3.17928,-0.556168,3.21084,1.7562,-3.21377,12.2506
4.55,-0.497357,-3.09632,-0.717008,3.33741,1.59365,-3.21903,12.4149
4.6,-0.326931,-3.02169,-0.878161,3.45468,1.42421,-3.22599,12.5853
4.65,-0.150928,-2.95574,-1.03972,3.56233,1.24797,-3.23472,12.7614
4.7,0.0301599,-2.8988,-1.20176,3.66003,1.065,-3.24528,12.9425
4.75,0.215824,-2.85121,-1.36439,3.74738,0.875385,-3.2577,13.1284
4.8,0.405534,-2.8133,-1.5277,3.82393,0.679224,-3.27197,13.3183
4.85,0.598734,-2.7854,-1.69177,3.88919,0.476615,-3.28805,13.5118
4.9,0.794846,-2.76781,-1.8567,3.94263,0.267679,-3.30587,13.7083
4.95,0.993259,-2.76085,-2.02257,3.98365,0.052566,-3.3253,13.9072
5,1.19333,-2.76483,-2.18946,4.0116,-0.168543,-3.34619,14.1078
5.05,1.39439,-2.78005,-2.35743,4.02577,-0.395422,-3.36832,14.3094
5.1,1.59573,-2.80677,-2.52653,4.0254,-0.627792,-3.39146,14.5115
5.15,1.79659,-2.84526,-2.69682,4.00966,-0.865308,-3.41528,14.7131
5.2,1.99618,-2.89578,-2.86831,3.9777,-1.10755,-3.43942,14.9135
5.25,2.19367,-2.95853,-3.041,3.92857,-1.35399,-3.46346,15.1118
5.3,2.38815,-3.03372,-3.21488,3.8613,-1.60401,-3.4869,15.3073
5.35,2.5787,-3.1215,-3.3899,3.77489,-1.85686,-3.50918,15.4989
5.4,2.76433,-3.22198,-3.56598,3.6683,-2.11162,-3.52965,15.6857
5.45,2.944,-3.33522,-3.74301,3.54047,-2.36722,-3.54759,15.8666
5.5,3.11661,-3.46124,-3.92084,3.39037,-2.62239,-3.5622,16.0405
5.55,3.28102,-3.59997,-4.09929,3.21699,-2.87566,-3.5726,16.2064
5.6,3.43604,-3.75126,-4.2781,3.01939,-3.12531,-3.57782,16.3629
5.65,3.58043,-3.91488,-4.45698,2.79673,-3.36935,-3.5768,16.5089
5.7,3.71292,-4.09047,-4.6356,2.54833,-3.60554,-3.56841,16.643
5.75,3.83221,-4.27756,-4.81355,2.27372,-3.83135,-3.55146,16.7641
5.8,3.93697,-4.47557,-4.99036,1.97267,-4.04395,-3.52468,16.8707
5.85,4.02588,-4.68373,-5.16551,1.64532,-4.24024,-3.48678,16.9616
5.9,4.09766,-4.90112,-5.33839,1.29219,-4.41683,-3.43642,17.0353
5.95,4.15103,-5.12666,-5.50834,0.914321,-4.57014,-3.3723,17.0908
6,4.1848,-5.35907,-5.67464,0.5133,-4.69637,-3.29312,17.1267
6.05,4.19789,-5.59688,-5.83651,0.0913679,-4.79165,-3.1977,17.1419
6.1,4.18932,-5.83843,-5.99308,-0.348526,-4.8521,-3.08494,17.1355
6.15,4.15832,-6.08185,-6.14347,-0.802674,-4.87395,-2.95393,17.1067
6.2,4.1043,-6.32511,-6.28675,-1.26658,-4.85369,-2.80399,17.0548
6.25,4.02692,-6.56602,-6.42194,-1.73499,-4.78826,-2.63468,16.9796
6.3,3.92615,-6.80223,-6.54809,-2.20187,-4.67516,-2.44593,16.8808
6.35,3.80225,-7.03132,-6.66423,-2.66059,-4.51268,-2.23799,16.7588
6.4,3.65584,-7.25077,-6.76941,-3.10396,-4.30006,-2.01157,16.6141
6.45,3.48792,-7.4581,-6.86274,-3.52449,-4.03761,-1.76777,16.4478
6.5,3.29986,-7.65085,-6.9434,-3.91456,-3.72685,-1.50817,16.261
6.55,3.0934,-7.82668,-7.01065,-4.2667,-3.37057,-1.23475,16.0557
6.6,2.87065,-7.98343,-7.06389,-4.57387,-2.97283,-0.949921,15.8337
6.65,2.63407,-8.11918,-7.10261,-4.82974,-2.53887,-0.656452,15.5976
6.7,2.38637,-8.23232,-7.12647,-5.02895,-2.07506,-0.357394,15.3501
6.75,2.13052,-8.32155,-7.1353,-5.16733,-1.58862,-0.0560102,15.0941
6.8,1.86965,-8.38599,-7.12908,-5.24212,-1.08745,0.24433,14.8328
6.85,1.60699,-8.42515,-7.10796,-5.25204,-0.579791,0.540249,14.5693
6.9,1.34577,-8.43894,-7.07227,-5.19731,-0.0739521,0.828467,14.3069
6.95,1.08919,-8.4277,-7.02247,-5.07968,0.421984,1.1059,14.0489
7,0.840295,-8.39216,-6.9592,-4.90224,0.900446,1.36976,13.7983
7.05,0.60196,-8.33341,-6.88321,-4.66928,1.3546,1.61759,13.558
7.1,0.376803,-8.25283,-6.79536,-4.38606,1.77854,1.84736,13.3307
7.15,0.16716,-8.15208,-6.69661,-4.05858,2.16741,2.05749,13.1187
7.2,-0.0249489,-8.03305,-6.58797,-3.6933,2.51743,2.24684,12.9241
7.25,-0.197833,-7.89775,-6.47051,-3.2969,2.82596,2.41473,12.7487
7.3,-0.350138,-7.74832,-6.3453,-2.87606,3.09138,2.5609,12.5938
7.35,-0.480835,-7.58692,-6.21343,-2.43724,3.31308,2.68547,12.4605
7.4,-0.589213,-7.41575,-6.07597,-1.98656,3.49127,2.78891,12.3495
7.45,-0.674848,-7.23695,-5.93395,-1.52967,3.62689,2.87201,12.2612
